job_title,company_name,location,salary,skills,url,source,description
Software Asset Management Specalist,Renesas Design Vietnam,Dashboard,You'll love it,Scrum | Team Management,https://itviec.com/it-jobs/software-asset-management-specalist-renesas-design-vietnam-3816,itviec,
Senior QA Engineer (Software Tester),Dai-ichi Life Việt Nam,Dashboard,You'll love it,QA QC | Tester | Agile | Scrum | Jira | Automation Test,https://itviec.com/it-jobs/senior-qa-engineer-software-tester-dai-ichi-life-viet-nam-1050,itviec,
Java Backend Developer (Senior/Leader),Capgemini Vietnam,Dashboard,You'll love it,Java | Spring Boot | Cloud | Spring | AWS,https://itviec.com/it-jobs/java-backend-developer-senior-leader-capgemini-vietnam-0245,itviec,
GCP Cloud specialist (Japanese speaking),Capgemini Vietnam,Dashboard,You'll love it,GCP | Japanese | Terraform | Cloud,https://itviec.com/it-jobs/gcp-cloud-specialist-japanese-speaking-capgemini-vietnam-5725,itviec,
Backend/Fullstack Developer (NodeJS),Restaff – House Of Norway,Dashboard,"1,600 - 2,300 USD",NodeJS | English | SQL | TypeScript,https://itviec.com/it-jobs/backend-fullstack-developer-nodejs-restaff-house-of-norway-3523,itviec,
Penetration Tester/Security Tester (Mobile Application),Sunbytes,Dashboard,Very attractive package,Mobile Apps | OWASP | English,https://itviec.com/it-jobs/penetration-tester-security-tester-mobile-application-sunbytes-2731,itviec,
"Data Architect (Data Warehousing, ETL/ELT, SQL, Oracle)",VietinBank,Dashboard,Very attractive!!!,Data Engineer | ELT | Oracle | Data Warehousing | SQL | ETL,https://itviec.com/it-jobs/data-architect-data-warehousing-etl-elt-sql-oracle-vietinbank-0102,itviec,
"Data Governance (Data Quality, Data Privacy, Agile)",VietinBank,Dashboard,Very attractive!!!,Data Engineer | Risk Management | SQL | Agile,https://itviec.com/it-jobs/data-governance-data-quality-data-privacy-agile-vietinbank-2948,itviec,
"Jr Application Consultant (Java, Python, C#)",Avenue,Dashboard,You'll love it,Java | C# | C++ | Python,https://itviec.com/it-jobs/jr-application-consultant-java-python-c-avenue-0635,itviec,
Remote Backend Developer (NodeJS),Alpha Bravo Development,Dashboard,"800 - 1,100 USD",NodeJS | Database | English | JavaScript | NestJS,https://itviec.com/it-jobs/remote-backend-developer-nodejs-alpha-bravo-development-1253,itviec,
"Senior DevOps Engineer (AWS, Kubernetes)",Fastboy Marketing,Dashboard,You'll love it,DevOps | Kubernetes | DevSecOps | AWS,https://itviec.com/it-jobs/senior-devops-engineer-aws-kubernetes-fastboy-marketing-3836,itviec,
Senior/Lead PHP Engineer,Fastboy Marketing,Dashboard,You'll love it,PHP | OOP | SQL,https://itviec.com/it-jobs/senior-lead-php-engineer-fastboy-marketing-2232,itviec,
Frontend Software Engineer (Angular),Blogic Systems,Dashboard,You'll love it,Angular | TypeScript | CSS,https://itviec.com/it-jobs/frontend-software-engineer-angular-blogic-systems-0808,itviec,
System Administrator (GLPI & L2 Support)– 24Hr Campaign,ELCA,Dashboard,You'll love it,System Admin | IT Support | PowerShell | Linux,https://itviec.com/it-jobs/system-administrator-glpi-l2-support-elca-1924,itviec,
"QA Manager (Automation Test, QA QC, English)",Nakivo,Dashboard,You'll love it,QA QC | Generative AI | Automation Test | Java | Tester,https://itviec.com/it-jobs/qa-manager-automation-test-qa-qc-english-nakivo-4733,itviec,
Manual Test Engineer (Automotive Domain_From 3+YOE),LG Electronics Development Vietnam (LGEDV),Dashboard,"500 - 1,500 USD",English | Agile | SQL | Tester,https://itviec.com/it-jobs/manual-test-engineer-automotive-domain_from-3-yoe-lg-electronics-development-vietnam-lgedv-5516,itviec,
Infrastructure Engineer (System Admin) up to $2500,T2 SOFT COMPANY LIMITED,Dashboard,"Up to 2,500 usd",System Admin | Linux | VMware | Firewall | Networking,https://itviec.com/it-jobs/infrastructure-engineer-system-admin-up-to-2500-t2-soft-company-limited-3706,itviec,
Senior Frontend Developer (ReactJS),VNGGames,Dashboard,You'll love it,ReactJS | Agile | Cloud | JavaScript | Redux | TypeScript,https://itviec.com/it-jobs/senior-frontend-developer-reactjs-vnggames-3013,itviec,
[Sign-on Bonus] Project Leader/ BrSE (Japanese N2+),NEC Vietnam,Dashboard,You'll love it,Bridge Engineer | Angular | Japanese IT Communication | Java,https://itviec.com/it-jobs/sign-on-bonus-project-leader-brse-japanese-n2-nec-vietnam-1124,itviec,
[REMOTE] 2D Game Artist,Athena Studio,Dashboard,You'll love it,UI-UX | Design | Generative AI | Spine | Adobe Photoshop,https://itviec.com/it-jobs/remote-2d-game-artist-athena-studio-2926,itviec,
[REMOTE] Game Designer,Athena Studio,Dashboard,You'll love it,Design | Games,https://itviec.com/it-jobs/remote-game-designer-athena-studio-2345,itviec,
Jr/Middle Android App Framework Engineer (Good English),Suntech Vina (Hợp tác cùng tập đoàn CNTT hàng đầu Ấn độ),Dashboard,"1,000 - 2,000 USD",Android | Android studio | CI/CD | UI-UX | Java | Kotlin,https://itviec.com/it-jobs/jr-middle-android-app-framework-engineer-good-english-suntech-vina-hop-tac-cung-tap-doan-cntt-hang-dau-an-do-5415,itviec,
"Senior Game Server Developer (Golang, Java, Rust)",Future Game Studio,Dashboard,"1,400 - 3,000 USD",Games | CI/CD | OOP | Java | Rust | Golang,https://itviec.com/it-jobs/senior-game-server-developer-golang-java-rust-future-game-studio-0953,itviec,
Java Developer,Renesas Design Vietnam,Dashboard,You'll love it,Java | Azure | SQL | JSON | Python,https://itviec.com/it-jobs/java-developer-renesas-design-vietnam-0722,itviec,
"Senior DevOps Engineer (Linux, CI/CD, Python)",CÔNG TY TNHH SPACEMIND,Dashboard,"1,500 - 2,700 USD",DevOps | Python | Kubernetes | CI/CD | Linux,https://itviec.com/it-jobs/senior-devops-engineer-linux-ci-cd-python-cong-ty-tnhh-spacemind-0537,itviec,
"Product Developer (BA, Figma, Agile, Wireframing)",OLLI,Dashboard,You'll love it,Business Analysis | Product Management | Agile | Wireframing,https://itviec.com/it-jobs/product-developer-ba-figma-agile-wireframing-olli-5246,itviec,
Senior Business Analyst – 24Hr Campaign,ELCA,Dashboard,You'll love it,Business Analysis | English | Data modeling | SQL,https://itviec.com/it-jobs/senior-business-analyst-elca-5308,itviec,
QA Engineer – 24Hr Campaign,ELCA,Dashboard,You'll love it,QA QC | Agile | Automation Test | Tester,https://itviec.com/it-jobs/qa-engineer-elca-5456,itviec,
Senior .NET Engineer – 24Hr Campaign,ELCA,Dashboard,You'll love it,.NET | Data modeling | SOLID Principles | OOP,https://itviec.com/it-jobs/senior-net-engineer-elca-5152,itviec,
Senior Java Engineer – 24Hr Campaign,ELCA,Dashboard,You'll love it,Java | HTML | JavaScript | SQL | SOLID Principles | OOP,https://itviec.com/it-jobs/senior-java-engineer-elca-5006,itviec,
"Senior Game Designer (Puzzle, Board Games)",ANTADA,Dashboard,"800 - 1,200 USD",Games | Design,https://itviec.com/it-jobs/senior-game-designer-puzzle-board-games-antada-1624,itviec,
[Global Market] Business Analyst - Upto 40M,RIKKEISOFT,Dashboard,"1,000 - 1,500 USD",Python | English | Snowflake | SQL | Business Analysis,https://itviec.com/it-jobs/global-market-business-analyst-upto-40m-rikkeisoft-5804,itviec,
DevOps Engineer (Junior/Middle level),TIKI,Dashboard,You'll love it,Kubernetes | GCP | Linux | CI/CD | Ansible | Terraform,https://itviec.com/it-jobs/devops-engineer-junior-middle-level-tiki-1853,itviec,
[Hanoi] Senior Manager (Japanese N2+),NEC Vietnam,Dashboard,You'll love it,Bridge Engineer | Japanese | Project Management,https://itviec.com/it-jobs/hanoi-senior-manager-japanese-n2-nec-vietnam-0804,itviec,
[Sign-on Bonus] Project Leader/ BrSE (Japanese N2+),NEC Vietnam,Dashboard,You'll love it,Bridge Engineer | Japanese IT Communication | Java | C#,https://itviec.com/it-jobs/sign-on-bonus-project-leader-brse-japanese-n2-nec-vietnam-0507,itviec,
Software Project Leader - Project Manager,LG Electronics Development Vietnam (LGEDV),Dashboard,"1,500 - 2,500 USD",Project Management | Lean Project Management | English,https://itviec.com/it-jobs/software-project-leader-project-manager-lg-electronics-development-vietnam-lgedv-0141,itviec,
AI Development Evangelist,Scandinavian Software Park,Dashboard,You'll love it,Generative AI | Java | English | Python | AI | GitHub,https://itviec.com/it-jobs/ai-development-evangelist-scandinavian-software-park-3244,itviec,
Python/VueJS or Angular engineer (10 years experienced),LAVEGA,Dashboard,"1,000 - 2,500 USD",Python | PostgreSql | MongoDB | FastAPI | English | VueJS,https://itviec.com/it-jobs/python-vuejs-or-angular-engineer-10-years-experienced-lavega-5908,itviec,
Bridge Software Engineer (BrSE),WBC Việt Nam,Dashboard,1000～,Bridge Engineer | Japanese IT Communication | Japanese,https://itviec.com/it-jobs/bridge-software-engineer-brse-wbc-viet-nam-0033,itviec,
Senior Technical Product Owner (Team Lead),VUS,Dashboard,"1,200 - 1,600 USD",Product Owner | System Architecture | Agile | API,https://itviec.com/it-jobs/senior-technical-product-owner-team-lead-vus-1002,itviec,
"Expert Backend Engineer (AWS, DevOps)",PNJ,Dashboard,You'll love it,AWS | AWS Lambda | API | DevOps | SQL | Python,https://itviec.com/it-jobs/expert-backend-engineer-aws-devops-pnj-3456,itviec,
Java Developer (Data Integration),Fincorp.,Dashboard,"1,200 - 1,500 USD",Java | Spring | JQuery | ETL | MySQL | Spring Boot,https://itviec.com/it-jobs/java-developer-data-integration-fincorp-2801,itviec,
Cybersecurity Operations Manager - SOC Manager,AURIFY,Dashboard,Unexpected,Cybersecurity | DevSecOps | Vulnerability Management | Linux,https://itviec.com/it-jobs/cybersecurity-operations-manager-soc-manager-aurify-4053,itviec,
Senior Back End Development Executive (Golang),VUS,Dashboard,"1,600 - 2,000 USD",Golang | Kafka | CI/CD | PostgreSql | Cloud | NodeJS,https://itviec.com/it-jobs/senior-back-end-development-executive-golang-vus-0038,itviec,
Junior/Senior Cloud Infrastructure Engineer,GLOBALTECH,Dashboard,"500 - 1,500 USD",OpenStack | Ansible | Prometheus | Kubernetes | Python,https://itviec.com/it-jobs/junior-senior-cloud-infrastructure-engineer-globaltech-3426,itviec,
IT Infrastructure Server and Storage/IT Network,TOPPA SOLUTIONS,Dashboard,You'll love it,Database | System Admin | Enterprise Architecture,https://itviec.com/it-jobs/it-infrastructure-server-and-storage-it-network-toppa-solutions-3545,itviec,
"Frontend Developer (Angular, TypeScript, JavaScript)",CARE CONNECT VIETNAM,Dashboard,You'll love it,Angular | Git | JavaScript | CSS 3 | HTML5 | TypeScript,https://itviec.com/it-jobs/frontend-developer-angular-typescript-javascript-care-connect-vietnam-1543,itviec,
"Japanese Mid - Tester (QA QC, SQL, API, Postman)",CARE CONNECT VIETNAM,Dashboard,You'll love it,Tester | Postman | API | SQL | QA QC | Japanese,https://itviec.com/it-jobs/japanese-mid-tester-qa-qc-sql-api-postman-care-connect-vietnam-0644,itviec,
"Mobile Developer (iOS/Android, Kotlin, Swift, MVC, Git)",CARE CONNECT VIETNAM,Dashboard,You'll love it,iOS | Android | Git | MVC | Kotlin | Swift,https://itviec.com/it-jobs/mobile-developer-ios-android-kotlin-swift-mvc-git-care-connect-vietnam-1240,itviec,
"Fullstack Developer (NodeJS, NestJS, VueJS, Angular)",IHOUZZ TECH,Dashboard,You'll love it,NodeJS | VueJS | Angular | NestJS,https://itviec.com/it-jobs/fullstack-developer-nodejs-nestjs-vuejs-angular-ihouzz-tech-4111,itviec,
Senior Application Security/ Threat Modelling,Dai-ichi Life Việt Nam,Dashboard,You'll love it,Application Security | Microservices | API | DevSecOps,https://itviec.com/it-jobs/senior-application-security-threat-modelling-dai-ichi-life-viet-nam-4334,itviec,
QA Automation Engineer (Python & C++),Motorola Solutions,Dashboard,You'll love it,Automation Test | C++ | Google Cloud | JavaScript | Python,https://itviec.com/it-jobs/qa-automation-engineer-python-c-motorola-solutions-2859,itviec,
Remote VueJS / Nuxt Developer,Softly LLC,Dashboard,"700 - 1,500 USD",VueJS | Nuxt.js | TypeScript,https://itviec.com/it-jobs/remote-vuejs-nuxt-developer-softly-llc-1702,itviec,
SAP Senior Consultant - SAP FICO Implementation,Deloitte Consulting Vietnam,Dashboard,You'll love it,SAP | ERP | Business Analysis | Project Management,https://itviec.com/it-jobs/sap-senior-consultant-sap-fico-implementation-deloitte-consulting-vietnam-0530,itviec,
Senior iOS Developer,Creative Force,Dashboard,Attractive salary package,iOS | UI-UX | Mobile Apps | API | Swift,https://itviec.com/it-jobs/senior-ios-developer-creative-force-2216,itviec,
AI Engineer,Creative Force,Dashboard,You'll love it,AI | English | AWS | Generative AI | Machine Learning,https://itviec.com/it-jobs/ai-engineer-creative-force-5241,itviec,
Senior UX/UI Designer,Creative Force,Dashboard,Attractive salary package,UI-UX | CSS | HTML | English,https://itviec.com/it-jobs/senior-ux-ui-designer-creative-force-4417,itviec,
Cloud Engineer – Education & Managed Services,GALAXY HOLDINGS,Dashboard,You'll love it,CompTIA Network+ | Cloud,https://itviec.com/it-jobs/cloud-engineer-education-managed-services-galaxy-holdings-0826,itviec,
Mobile Developer (React Native/ IOS / MacOS),Hitachi Digital Services,Dashboard,You'll love it,React Native | ReactJS | AI | Swift | iOS | JavaScript,https://itviec.com/it-jobs/mobile-developer-react-native-ios-macos-hitachi-digital-services-5600,itviec,
"(Đống Đa, HN) AI Engineer (Python, AI API, Javascript)",Neos Việt Nam,Dashboard,"700 - 1,000 USD",Fresher Accepted | AI | Generative AI | API | Machine Learning | JavaScript,https://itviec.com/it-jobs/dong-da-hn-ai-engineer-python-ai-api-javascript-neos-viet-nam-3625,itviec,
Viettel Future Changemakers - Project Manager,Viettel Group,Dashboard,"1,000 - 2,000 USD",Project Management | Lean Project Management | Business Analysis,https://itviec.com/it-jobs/viettel-future-changemakers-project-manager-viettel-group-0917,itviec,
Senior UI UX Designer,Công Ty TNHH Musea Journey,Dashboard,You'll love it,UI-UX | Mobile Apps | AI | Design,https://itviec.com/it-jobs/senior-ui-ux-designer-cong-ty-tnhh-musea-journey-3014,itviec,
[Telecom] System Admin,Huawei,Dashboard,"800 - 1,500 USD",Database | English,https://itviec.com/it-jobs/telecom-system-admin-huawei-5438,itviec,
[HCMC/HN/DN] DevOps Engineer/Cloud Support Engineer(L2),The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,Dashboard,You'll love it,Cloud | IT Support | DevOps | Azure | AWS,https://itviec.com/it-jobs/hcmc-hn-dn-devops-engineer-cloud-support-engineer-l2-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-4357,itviec,
"Technical Lead - .NET (C#, Web API, English)",NashTech,Dashboard,You'll love it,.NET | Web API | English | Leadership | ASP.NET | C#,https://itviec.com/it-jobs/technical-lead-net-c-web-api-english-nashtech-2936,itviec,
"Technical Architect - .NET (C#, English)",NashTech,Dashboard,You'll love it,.NET | Azure | English | ASP.NET | C# | Software Architecture,https://itviec.com/it-jobs/technical-architect-net-c-english-nashtech-2706,itviec,
Middle - Senior Backend Developer (Golang),Zyneric,Dashboard,Negotiate,Golang | Database | MongoDB | MySQL | NestJS | TypeScript,https://itviec.com/it-jobs/middle-senior-backend-developer-golang-zyneric-1327,itviec,
Senior Site Reliability Engineer,NAB Innovation Centre Vietnam,Dashboard,You'll love it,AWS | Python | Terraform,https://itviec.com/it-jobs/senior-site-reliability-engineer-nab-innovation-centre-vietnam-1948,itviec,
"Data Architect (Oracle, PostgreSQL, MongoDB, Redis, S3)",MB Bank,Dashboard,You'll love it,Oracle | Redis | MongoDB | PostgreSql | Azure | Cloud,https://itviec.com/it-jobs/data-architect-oracle-postgresql-mongodb-redis-s3-mb-bank-1218,itviec,
"CV, CVCC Khoa học Dữ liệu - Data Scientist",MB Bank,Dashboard,You'll love it,Data Science | Keras | Deep Learning | Machine Learning,https://itviec.com/it-jobs/cv-cvcc-khoa-hoc-du-lieu-data-scientist-mb-bank-0712,itviec,
CVCC Bảo mật Dữ liệu - Senior Data Security,MB Bank,Dashboard,You'll love it,"Security | IT Governance | Governance, Risk & Compliance",https://itviec.com/it-jobs/cvcc-bao-mat-du-lieu-senior-data-security-mb-bank-5624,itviec,
Senior Application Engineer Backend Ruby,LIFULL Tech Vietnam,Dashboard,"Up to 52,000,000vnd gross",Ruby | PostgreSql | AI | MySQL | Ruby on Rails,https://itviec.com/it-jobs/senior-application-engineer-backend-ruby-lifull-tech-vietnam-4059,itviec,
AI Engineer - Computer Vision (Machine Learning/Python),GLOBALTECH,Dashboard,You'll love it,AI | Deep Learning | NumPy | Python | Machine Learning,https://itviec.com/it-jobs/ai-engineer-computer-vision-machine-learning-python-globaltech-4016,itviec,
"Backend Python Developer (Flask, FastAPI, SQL, Docker)",GLOBALTECH,Dashboard,You'll love it,Python | Flask | Kafka | NoSQL | SQL | FastAPI,https://itviec.com/it-jobs/backend-python-developer-flask-fastapi-sql-docker-globaltech-3605,itviec,
"AI Engineer - NLP (Machine Learning, LLMs, API)",GLOBALTECH,Dashboard,You'll love it,Generative AI | Flask | FastAPI | LLM | Machine Learning,https://itviec.com/it-jobs/ai-engineer-machine-learning-nlp-llms-api-globaltech-3243,itviec,
"Front-end Developer (HTML, CSS, JavaScript, API)",GLOBALTECH,Dashboard,You'll love it,HTML | API | ReactJS | JavaScript | CSS,https://itviec.com/it-jobs/front-end-developer-html-css-javascript-api-globaltech-2514,itviec,
Python Developer (Middle),Capgemini Vietnam,Dashboard,You'll love it,Python | ReactJS | JavaScript | Flask | English,https://itviec.com/it-jobs/python-developer-middle-capgemini-vietnam-4030,itviec,
Senior Back-End Engineer (Python),FireGroup,Dashboard,You'll love it,Python | FastAPI | OOP | NoSQL | Django | SQL,https://itviec.com/it-jobs/senior-back-end-engineer-python-firegroup-3511,itviec,
Information Security & Cyber Resiliance Officer,AURIFY,Dashboard,Amazing,Information Security | Project Management,https://itviec.com/it-jobs/information-security-cyber-resiliance-officer-aurify-2322,itviec,
"(Đống Đa, HN) iOS Dev (Swift, Flutter)",Neos Việt Nam,Dashboard,"800 - 1,500 USD",Fresher Accepted | Swift | Flutter | Mobile Apps | React Native | AWS | iOS,https://itviec.com/it-jobs/dong-da-hn-ios-dev-swift-flutter-neos-viet-nam-2723,itviec,
AI Engineer,Spiraledge,Dashboard,You'll love it,AI | LLM | TypeScript | NodeJS | Python,https://itviec.com/it-jobs/ai-engineer-python-llm-spiraledge-4841,itviec,
Mobile Developer (Flutter) – AI-First Product Team,Spiraledge,Dashboard,You'll love it,Flutter | Android | iOS | AI,https://itviec.com/it-jobs/mobile-developer-flutter-ai-first-product-team-spiraledge-4332,itviec,
"Junior/Middle Tester (API, Postman, Agile)",K&M Holdings,Dashboard,You'll love it,Tester | Agile | Microservices | Postman | API,https://itviec.com/it-jobs/junior-middle-tester-api-postman-agile-k-m-holdings-5640,itviec,
Backend Engineer (Kotlin/Java/Spring) - NAVER FINANCIAL,NAVER VIETNAM,Dashboard,You'll love it,Java | Spring Boot | Kafka | Algorithms | Spring | Kotlin,https://itviec.com/it-jobs/backend-engineer-kotlin-java-spring-naver-financial-naver-vietnam-2730,itviec,
"Business Analyst (Microsoft Azure Cloud, Scrum Master)",ROSENXT TECHNOLOGY VIETNAM,Dashboard,You'll love it,Business Analysis | Scrum | Cloud | Azure | English,https://itviec.com/it-jobs/business-analyst-microsoft-azure-cloud-scrum-master-rosenxt-technology-vietnam-2711,itviec,
Senior Full-stack Web and AI Developer,East Agile,Dashboard,"1,500 - 4,500 USD",AI | ReactJS | Fullstack | Python,https://itviec.com/it-jobs/senior-full-stack-web-and-ai-developer-east-agile-1234,itviec,
"Senior IT Business Analyst (LOS, CRM system)",SHBFinance,Dashboard,"1,000 - 1,500 USD",Business Analysis | SRS | BRD | BPMN | Agile | User diagram,https://itviec.com/it-jobs/senior-it-business-analyst-los-crm-system-shbfinance-1653,itviec,
"DevOps Engineer (AWS, Cloud)",Deliveree On-Demand Logistics,Dashboard,You'll love it,DevOps | Prometheus | Docker | Cloud | AWS | Kubernetes,https://itviec.com/it-jobs/devops-engineer-aws-cloud-deliveree-on-demand-logistics-3519,itviec,
"Senior Software Engineer (Java, Springboot, PostgreSQL)",SHBFinance,Dashboard,"1,000 - 2,000 USD",Java | BPMN | Microservices | Oracle | PostgreSql,https://itviec.com/it-jobs/senior-software-engineer-java-springboot-postgresql-shbfinance-1933,itviec,
"Application Developer (.Net Core 6, C#, HTML, ReactJS)",Gene Solutions,Dashboard,You'll love it,.Net Core | Entity Framework | ReactJS | C# | .NET | SQL,https://itviec.com/it-jobs/application-developer-net-core-6-c-html-reactjs-gene-solutions-1907,itviec,
Android Developer (Kotlin) - Up to 45M,NTT DATA VDS,Dashboard,"850 - 1,750 USD",Kotlin | MVP | MVVM | kotlinx.coroutines | Retrofit | Android,https://itviec.com/it-jobs/android-developer-kotlin-up-to-45m-ntt-data-vds-1318,itviec,
"Senior Automation Tester (QA QC, Selenium, Java)",ekino Vietnam,Dashboard,Attractive salary!,Automation Test | TypeScript | JavaScript | Java | Playwright,https://itviec.com/it-jobs/senior-automation-tester-qa-qc-selenium-java-ekino-vietnam-5733,itviec,
BI Supervisor (SQL/ English),FOUR HANDS,Dashboard,You'll love it,Power BI | SQL | English,https://itviec.com/it-jobs/bi-supervisor-sql-english-four-hands-3905,itviec,
Telecom Business Architect,Huawei,Dashboard,"1,000 - 3,000 USD",Business Analysis | Data Analysis,https://itviec.com/it-jobs/telecom-business-architect-huawei-5659,itviec,
Project Manager,"TPIsoftware Co., Ltd",Dashboard,You'll love it,Project Management | Risk Management | Scrum | English | Jira,https://itviec.com/it-jobs/project-manager-tpisoftware-co-ltd-1520,itviec,
HCM-Junior Implementation Consultant (SQL/Oracle/Java),OpenWay Asia,Dashboard,"600 - 1,000 USD",Fresher Accepted | SQL | Oracle | JavaScript,https://itviec.com/it-jobs/hcm-junior-implementation-consultant-sql-oracle-java-openway-asia-2421,itviec,
Frontend Developer (Angular),Oivan,Dashboard,You'll love it,Angular | TypeScript | CSS,https://itviec.com/it-jobs/frontend-developer-angular-oivan-1959,itviec,
Senior Ruby on Rails Developer,ZIGExN VeNtura,Dashboard,You'll love it,Ruby on Rails | Cloud | CI/CD | Ruby | VueJS | ReactJS,https://itviec.com/it-jobs/senior-ruby-on-rails-developer-zigexn-ventura-1925,itviec,
[HCMC/HN/DN] Software Engineer (Java/PHP/Angular),The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,Dashboard,You'll love it,PHP | English | AWS | Angular | Java,https://itviec.com/it-jobs/hcmc-hn-dn-software-engineer-java-php-angular-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-1153,itviec,
DevOps Engineer,Oivan,Dashboard,You'll love it,DevOps | English | MongoDB | PostgreSql | Database | Azure,https://itviec.com/it-jobs/devops-engineer-oivan-1005,itviec,
Senior PHP Developer (Laravel / ReactJS / VueJS),ZIGExN VeNtura,Dashboard,You'll love it,PHP | VueJS | Laravel | ReactJS | NextJS,https://itviec.com/it-jobs/senior-php-developer-laravel-reactjs-vuejs-zigexn-ventura-0018,itviec,
